Município	Cap I	Total
150570 Ponta de Pedras	5	5
150580 Portel	11	11
150590 Porto de Moz	2	2
150600 Prainha	1	1
150610 Primavera	2	2
150611 Quatipuru	1	1
150613 Redenção	20	20
150616 Rio Maria	3	3
150618 Rondon do Pará	8	8
150619 Rurópolis	4	4
150620 Salinópolis	5	5
150630 Salvaterra	7	7
150635 Santa Bárbara do Pará	4	4
150640 Santa Cruz do Arari	1	1
150650 Santa Izabel do Pará	12	12
150655 Santa Luzia do Pará	2	2
150660 Santa Maria do Pará	4	4
150670 Santana do Araguaia	9	9
150680 Santarém	89	89
150690 Santarém Novo	2	2
150700 Santo Antônio do Tauá	8	8
150710 São Caetano de Odivelas	3	3
150715 São Domingos do Araguaia	2	2
150720 São Domingos do Capim	4	4
150730 São Félix do Xingu	14	14
150740 São Francisco do Pará	10	10
150745 São Geraldo do Araguaia	3	3
150746 São João da Ponta	1	1
150747 São João de Pirabas	3	3
150750 São João do Araguaia	2	2
150760 São Miguel do Guamá	11	11
150770 São Sebastião da Boa Vista	3	3
150775 Sapucaia	2	2
150780 Senador José Porfírio	2	2
150790 Soure	5	5
150795 Tailândia	9	9
150796 Terra Alta	3	3
150797 Terra Santa	4	4
150800 Tomé-Açu	8	8
150803 Tracuateua	4	4
150805 Trairão	4	4
150808 Tucumã	9	9
150810 Tucuruí	21	21
150812 Ulianópolis	7	7
150815 Uruará	11	11
150820 Vigia	8	8
150830 Viseu	13	13
150835 Vitória do Xingu	3	3
150840 Xinguara	6	6
150000 Município ignorado - PA	1	1
160010 Amapá	2	2
160020 Calçoene	2	2
160023 Ferreira Gomes	2	2
160027 Laranjal do Jari	12	12
160030 Macapá	113	113
160040 Mazagão	3	3
160050 Oiapoque	4	4
160015 Pedra Branca do Amapari	5	5
160053 Porto Grande	1	1
160060 Santana	20	20
160005 Serra do Navio	2	2
160070 Tartarugalzinho	2	2
170025 Abreulândia	1	1
170035 Aliança do Tocantins	1	1
170040 Almas	4	4
170070 Alvorada	2	2
170100 Ananás	3	3
170105 Angico	4	4
170210 Araguaína	23	23
170220 Araguatins	7	7
170230 Arapoema	1	1
170240 Arraias	2	2
170255 Augustinópolis	1	1
170270 Aurora do Tocantins	1	1
170290 Axixá do Tocantins	2	2
170300 Babaçulândia	2	2
170305 Bandeirantes do Tocantins	1	1
170307 Barra do Ouro	1	1
170330 Bom Jesus do Tocantins	1	1
170370 Brejinho de Nazaré	3	3
170380 Buriti do Tocantins	2	2
170386 Cariri do Tocantins	1	1
170389 Carrasco Bonito	1	1
170390 Caseara	3	3
170410 Centenário	1	1
170460 Chapada de Areia	1	1
170550 Colinas do Tocantins	3	3
171670 Colméia	1	1
170555 Combinado	1	1
170600 Couto Magalhães	2	2
170650 Darcinópolis	1	1
170700 Dianópolis	6	6
170710 Divinópolis do Tocantins	1	1
170720 Dois Irmãos do Tocantins	4	4
170740 Esperantina	3	3
170755 Fátima	1	1
170770 Filadélfia	2	2
170820 Formoso do Araguaia	1	1
170825 Fortaleza do Tabocão	1	1
170900 Goiatins	6	6
170930 Guaraí	4	4
170950 Gurupi	19	19
170980 Ipueiras	1	1
171070 Itaguatins	1	1
171090 Itapiratins	1	1
171190 Lagoa da Confusão	2	2
171240 Lizarda	2	2
171320 Miracema do Tocantins	4	4
171330 Miranorte	1	1
171360 Monte do Carmo	1	1
171370 Monte Santo do Tocantins	1	1
171420 Natividade	4	4
171525 Novo Jardim	1	1
172100 Palmas	44	44
171570 Palmeirante	2	2
171380 Palmeiras do Tocantins	1	1
171575 Palmeirópolis	1	1
171610 Paraíso do Tocantins	9	9
171620 Paranã	1	1
171700 Pindorama do Tocantins	2	2
171750 Pium	1	1
171800 Porto Alegre do Tocantins	1	1
171820 Porto Nacional	12	12
171830 Praia Norte	1	1
171840 Presidente Kennedy	1	1
171845 Pugmil	1	1
171850 Recursolândia	1	1
171855 Riachinho	1	1
171870 Rio dos Bois	2	2
171880 Sampaio	1	1
171890 Santa Rosa do Tocantins	2	2
171900 Santa Tereza do Tocantins	1	1
172010 São Bento do Tocantins	1	1
172020 São Miguel do Tocantins	2	2
172049 São Valério	1	1
172080 Sítio Novo do Tocantins	1	1
172090 Taguatinga	2	2
172110 Tocantínia	2	2
172120 Tocantinópolis	5	5
172130 Tupiratins	1	1
172208 Wanderlândia	1	1
172210 Xambioá	2	2
170000 Município ignorado - TO	1	1
210005 Açailândia	28	28
210010 Afonso Cunha	2	2
210015 Água Doce do Maranhão	1	1
210020 Alcântara	4	4
210030 Aldeias Altas	10	10
210043 Alto Alegre do Maranhão	7	7
210047 Alto Alegre do Pindaré	1	1
210050 Alto Parnaíba	3	3
210055 Amapá do Maranhão	1	1
210060 Amarante do Maranhão	12	12
210070 Anajatuba	2	2
210080 Anapurus	1	1
210083 Apicum-Açu	3	3
210087 Araguanã	1	1
210090 Araioses	8	8
210095 Arame	7	7
210100 Arari	6	6
210110 Axixá	3	3
210120 Bacabal	39	39
210125 Bacabeira	3	3
210140 Balsas	15	15
210150 Barão de Grajaú	3	3
210160 Barra do Corda	28	28
210170 Barreirinhas	15	15
210177 Bela Vista do Maranhão	2	2
210173 Belágua	1	1
210180 Benedito Leite	1	1
210190 Bequimão	2	2
210193 Bernardo do Mearim	1	1
210200 Bom Jardim	5	5
210203 Bom Jesus das Selvas	7	7
210207 Bom Lugar	1	1
210210 Brejo	1	1
210220 Buriti	3	3
210230 Buriti Bravo	4	4
210232 Buriticupu	12	12
210235 Buritirana	3	3
210240 Cajapió	4	4
210250 Cajari	1	1
210255 Campestre do Maranhão	5	5
210260 Cândido Mendes	2	2
210270 Cantanhede	3	3
210280 Carolina	1	1
210290 Carutapera	6	6
210300 Caxias	33	33
210310 Cedral	1	1
210312 Central do Maranhão	1	1
210320 Chapadinha	10	10
210325 Cidelândia	5	5
210330 Codó	55	55
210340 Coelho Neto	16	16
210350 Colinas	7	7
210355 Conceição do Lago-Açu	2	2
210360 Coroatá	18	18
210370 Cururupu	9	9
210375 Davinópolis	5	5
210380 Dom Pedro	6	6
210390 Duque Bacelar	3	3
210400 Esperantinópolis	1	1
210405 Estreito	10	10
210407 Feira Nova do Maranhão	1	1
210408 Fernando Falcão	2	2
210409 Formosa da Serra Negra	1	1
210410 Fortaleza dos Nogueiras	1	1
210420 Fortuna	6	6
210430 Godofredo Viana	1	1
210440 Gonçalves Dias	2	2
210450 Governador Archer	2	2
210455 Governador Edison Lobão	3	3
210460 Governador Eugênio Barros	2	2
210462 Governador Luiz Rocha	3	3
210465 Governador Newton Bello	2	2
210467 Governador Nunes Freire	9	9
210470 Graça Aranha	2	2
210480 Grajaú	22	22
210490 Guimarães	1	1
210500 Humberto de Campos	8	8
210510 Icatu	2	2
210515 Igarapé do Meio	5	5
210520 Igarapé Grande	3	3
210530 Imperatriz	88	88
210535 Itaipava do Grajaú	4	4
210540 Itapecuru Mirim	7	7
210542 Itinga do Maranhão	3	3
210545 Jatobá	1	1
210547 Jenipapo dos Vieiras	1	1
210550 João Lisboa	3	3
210560 Joselândia	1	1
210570 Lago da Pedra	9	9
210580 Lago do Junco	1	1
210594 Lago dos Rodrigues	1	1
210590 Lago Verde	2	2
210592 Lagoa do Mato	1	1
210600 Lima Campos	5	5
210610 Loreto	1	1
210620 Luís Domingues	2	2
210630 Magalhães de Almeida	1	1
210632 Maracaçumé	6	6
210635 Marajá do Sena	1	1
210637 Maranhãozinho	3	3
210640 Mata Roma	2	2
210650 Matinha	1	1
210660 Matões	4	4
210663 Matões do Norte	1	1
210670 Mirador	2	2
210675 Miranda do Norte	8	8
210680 Mirinzal	1	1
210690 Monção	7	7
210700 Montes Altos	6	6
210710 Morros	1	1
210720 Nina Rodrigues	1	1
210725 Nova Colinas	1	1
210730 Nova Iorque	1	1
210735 Nova Olinda do Maranhão	4	4
210740 Olho d'Água das Cunhãs	4	4
210745 Olinda Nova do Maranhão	1	1
210750 Paço do Lumiar	21	21
210760 Palmeirândia	4	4
210770 Paraibano	2	2
210780 Parnarama	4	4
210790 Passagem Franca	6	6
210800 Pastos Bons	5	5
210805 Paulino Neves	3	3
210810 Paulo Ramos	1	1
210820 Pedreiras	20	20
210825 Pedro do Rosário	2	2
210830 Penalva	7	7
210840 Peri Mirim	3	3
210845 Peritoró	1	1
210850 Pindaré-Mirim	8	8
210860 Pinheiro	18	18
210870 Pio XII	4	4
210880 Pirapemas	7	7
210890 Poção de Pedras	2	2
210900 Porto Franco	5	5
210905 Porto Rico do Maranhão	1	1
210910 Presidente Dutra	5	5
210923 Presidente Médici	1	1
210927 Presidente Sarney	2	2
210930 Presidente Vargas	1	1
210940 Primeira Cruz	2	2
210945 Raposa	11	11
210950 Riachão	7	7
210955 Ribamar Fiquene	5	5
210960 Rosário	7	7
210970 Sambaíba	1	1
210975 Santa Filomena do Maranhão	1	1
210980 Santa Helena	8	8
210990 Santa Inês	21	21
211000 Santa Luzia	14	14
211003 Santa Luzia do Paruá	6	6
211010 Santa Quitéria do Maranhão	6	6
211020 Santa Rita	10	10
211030 Santo Antônio dos Lopes	3	3
211040 São Benedito do Rio Preto	5	5
211050 São Bento	3	3
211060 São Bernardo	2	2
211065 São Domingos do Azeitão	1	1
211070 São Domingos do Maranhão	3	3
211080 São Félix de Balsas	1	1
211085 São Francisco do Brejão	4	4
211090 São Francisco do Maranhão	4	4
211100 São João Batista	3	3
211102 São João do Carú	4	4
211105 São João do Paraíso	4	4
211107 São João do Soter	3	3
211110 São João dos Patos	3	3
211120 São José de Ribamar	43	43
211125 São José dos Basílios	3	3
211130 São Luís	329	329
211140 São Luís Gonzaga do Maranhão	3	3
211150 São Mateus do Maranhão	11	11
211153 São Pedro da Água Branca	4	4
211157 São Pedro dos Crentes	1	1
211160 São Raimundo das Mangabeiras	3	3
211163 São Raimundo do Doca Bezerra	1	1
211167 São Roberto	1	1
211170 São Vicente Ferrer	4	4
211172 Satubinha	3	3
211174 Senador Alexandre Costa	2	2
211176 Senador La Rocque	7	7
211178 Serrano do Maranhão	4	4
211180 Sítio Novo	3	3
211195 Sucupira do Riachão	1	1
211200 Tasso Fragoso	3	3
211210 Timbiras	11	11
211220 Timon	24	24
211223 Trizidela do Vale	4	4
211227 Tufilândia	1	1
211230 Tuntum	2	2
211240 Turiaçu	4	4
211245 Turilândia	2	2
211250 Tutóia	14	14
211260 Urbano Santos	1	1
211270 Vargem Grande	12	12
211280 Viana	10	10
211285 Vila Nova dos Martírios	1	1
211290 Vitória do Mearim	6	6
211300 Vitorino Freire	9	9
211400 Zé Doca	19	19
210000 Município ignorado - MA	3	3
220005 Acauã	2	2
220010 Agricolândia	2	2
220025 Alagoinha do Piauí	2	2
220027 Alegrete do Piauí	2	2
220030 Alto Longá	1	1
220040 Altos	11	11
220045 Alvorada do Gurguéia	1	1
220050 Amarante	4	4
220060 Angical do Piauí	1	1
220070 Anísio de Abreu	2	2
220080 Antônio Almeida	1	1
220110 Avelino Lopes	3	3
220120 Barras	11	11
220130 Barreiras do Piauí	1	1
220150 Batalha	1	1
220160 Beneditinos	3	3
220170 Bertolínia	2	2
220173 Betânia do Piauí	1	1
220190 Bom Jesus	2	2
220191 Bom Princípio do Piauí	1	1
220194 Boqueirão do Piauí	1	1
220196 Brasileira	2	2
220200 Buriti dos Lopes	5	5
220205 Cabeceiras do Piauí	2	2
220208 Cajueiro da Praia	4	4
220209 Caldeirão Grande do Piauí	1	1
220210 Campinas do Piauí	2	2
220213 Campo Grande do Piauí	3	3
220220 Campo Maior	10	10
220230 Canto do Buriti	2	2
220250 Caracol	5	5
220253 Caraúbas do Piauí	2	2
220255 Caridade do Piauí	1	1
220260 Castelo do Piauí	3	3
220265 Caxingó	1	1
220270 Cocal	1	1
220271 Cocal de Telha	2	2
220273 Coivaras	1	1
220275 Colônia do Gurguéia	1	1
220277 Colônia do Piauí	2	2
220285 Coronel José Dias	2	2
220290 Corrente	5	5
220300 Cristalândia do Piauí	1	1
220310 Cristino Castro	1	1
220320 Curimatá	3	3
220327 Curral Novo do Piauí	1	1
220330 Demerval Lobão	4	4
220335 Dirceu Arcoverde	1	1
220340 Dom Expedito Lopes	1	1
220345 Dom Inocêncio	4	4
220342 Domingos Mourão	1	1
220350 Elesbão Veloso	2	2
220360 Eliseu Martins	2	2
220370 Esperantina	3	3
220380 Flores do Piauí	4	4
220385 Floresta do Piauí	1	1
220390 Floriano	10	10
220430 Fronteiras	1	1
220435 Geminiano	1	1
220440 Gilbués	3	3
220450 Guadalupe	2	2
220465 Ilha Grande	6	6
220470 Inhuma	1	1
220480 Ipiranga do Piauí	3	3
220490 Isaías Coelho	1	1
220500 Itainópolis	2	2
220510 Itaueira	3	3
220520 Jaicós	5	5
220530 Jerumenha	2	2
220535 João Costa	3	3
220540 Joaquim Pires	1	1
220550 José de Freitas	7	7
220551 Juazeiro do Piauí	2	2
220553 Jurema	1	1
220555 Lagoa Alegre	2	2
220557 Lagoa de São Francisco	1	1
220556 Lagoa do Barro do Piauí	1	1
220558 Lagoa do Piauí	1	1
220560 Landri Sales	1	1
220570 Luís Correia	7	7
220580 Luzilândia	7	7
220590 Manoel Emídio	1	1
220600 Marcos Parente	1	1
220605 Massapê do Piauí	3	3
220610 Matias Olímpio	2	2
220620 Miguel Alves	4	4
220635 Milton Brandão	2	2
220650 Monsenhor Hipólito	3	3
220660 Monte Alegre do Piauí	1	1
220667 Morro do Chapéu do Piauí	1	1
220669 Murici dos Portelas	1	1
220670 Nazaré do Piauí	1	1
220672 Nazária	1	1
220675 Nossa Senhora de Nazaré	1	1
220680 Nossa Senhora dos Remédios	2	2
220795 Nova Santa Rita	1	1
220690 Novo Oriente do Piauí	2	2
220700 Oeiras	10	10
220730 Paes Landim	2	2
220735 Pajeú do Piauí	1	1
220740 Palmeira do Piauí	1	1
220760 Parnaguá	2	2
220770 Parnaíba	45	45
220777 Patos do Piauí	1	1
220779 Pau D'Arco do Piauí	1	1
220780 Paulistana	5	5
220790 Pedro II	6	6
220800 Picos	24	24
220810 Pimenteiras	2	2
220820 Pio IX	4	4
220830 Piracuruca	4	4
220840 Piripiri	8	8
220865 Queimada Nova	1	1
220870 Redenção do Gurguéia	2	2
220880 Regeneração	2	2
220885 Riacho Frio	2	2
220900 Rio Grande do Piauí	2	2
220910 Santa Cruz do Piauí	1	1
220920 Santa Filomena	2	2
220940 Santo Antônio de Lisboa	2	2
220950 Santo Inácio do Piauí	2	2
220970 São Francisco do Piauí	3	3
220990 São João da Serra	1	1
220995 São João da Varjota	2	2
221000 São João do Piauí	6	6
221020 São José do Piauí	1	1
221030 São Julião	1	1
221039 São Miguel do Fidalgo	1	1
221040 São Miguel do Tapuio	2	2
221060 São Raimundo Nonato	5	5
221062 Sebastião Barros	1	1
221065 Sigefredo Pacheco	2	2
221070 Simões	1	1
221080 Simplício Mendes	4	4
221090 Socorro do Piauí	1	1
221093 Sussuapara	1	1
221095 Tamboril do Piauí	1	1
221100 Teresina	201	201
221110 União	6	6
221120 Uruçuí	2	2
221130 Valença do Piauí	5	5
221150 Vera Mendes	3	3
221170 Wall Ferraz	2	2
230010 Abaiara	2	2
230015 Acarape	4	4
230020 Acaraú	15	15
230030 Acopiara	1	1
230040 Aiuaba	3	3
230050 Alcântaras	2	2
230060 Altaneira	2	2
230070 Alto Santo	4	4
230075 Amontada	14	14
230080 Antonina do Norte	1	1
230090 Apuiarés	3	3
230100 Aquiraz	9	9
230110 Aracati	10	10
230120 Aracoiaba	8	8
230125 Ararendá	2	2
230130 Araripe	4	4
230150 Arneiroz	4	4
230160 Assaré	4	4
230170 Aurora	5	5
230180 Baixio	1	1
230185 Banabuiú	1	1
230190 Barbalha	24	24
230195 Barreira	6	6
230200 Barro	2	2
230205 Barroquinha	2	2
230210 Baturité	7	7
230220 Beberibe	9	9
230230 Bela Cruz	9	9
230240 Boa Viagem	12	12
230250 Brejo Santo	6	6
230260 Camocim	13	13
230270 Campos Sales	11	11
230280 Canindé	20	20
230290 Capistrano	4	4
230300 Caridade	6	6
230310 Cariré	7	7
230330 Cariús	3	3
230340 Carnaubal	1	1
230350 Cascavel	12	12
230360 Catarina	3	3
230365 Catunda	3	3
230370 Caucaia	76	76
230380 Cedro	11	11
230390 Chaval	5	5
230393 Choró	3	3
230395 Chorozinho	3	3
230400 Coreaú	7	7
230410 Crateús	19	19
230420 Crato	46	46
230423 Croatá	10	10
230425 Cruz	7	7
230426 Deputado Irapuan Pinheiro	3	3
230428 Eusébio	16	16
230430 Farias Brito	2	2
230435 Forquilha	6	6
230440 Fortaleza	794	794
230445 Fortim	3	3
230450 Frecheirinha	4	4
230460 General Sampaio	1	1
230465 Graça	5	5
230470 Granja	15	15
230490 Groaíras	4	4
230495 Guaiúba	1	1
230500 Guaraciaba do Norte	6	6
230510 Guaramiranga	2	2
230520 Hidrolândia	5	5
230523 Horizonte	15	15
230526 Ibaretama	4	4
230530 Ibiapina	4	4
230533 Ibicuitinga	2	2
230535 Icapuí	5	5
230540 Icó	23	23
230550 Iguatu	34	34
230560 Independência	4	4
230565 Ipaporanga	6	6
230570 Ipaumirim	2	2
230580 Ipu	8	8
230590 Ipueiras	14	14
230600 Iracema	1	1
230610 Irauçuba	5	5
230620 Itaiçaba	2	2
230625 Itaitinga	10	10
230630 Itapajé	10	10
230640 Itapipoca	24	24
230650 Itapiúna	3	3
230655 Itarema	7	7
230660 Itatira	6	6
230670 Jaguaretama	4	4
230680 Jaguaribara	1	1
230690 Jaguaribe	4	4
230700 Jaguaruana	5	5
230710 Jardim	9	9
230720 Jati	2	2
230725 Jijoca de Jericoacoara	3	3
230730 Juazeiro do Norte	92	92
230740 Jucás	16	16
230750 Lavras da Mangabeira	9	9
230760 Limoeiro do Norte	12	12
230763 Madalena	3	3
230765 Maracanaú	53	53
230770 Maranguape	22	22
230780 Marco	5	5
230790 Martinópole	4	4
230800 Massapê	7	7
230810 Mauriti	12	12
230820 Meruoca	1	1
230830 Milagres	7	7
230835 Milhã	2	2
230837 Miraíma	4	4
230840 Missão Velha	8	8
230850 Mombaça	12	12
230860 Monsenhor Tabosa	1	1
230870 Morada Nova	9	9
230880 Moraújo	1	1
230890 Morrinhos	2	2
230910 Mulungu	2	2
230920 Nova Olinda	2	2
230930 Nova Russas	6	6
230940 Novo Oriente	9	9
230945 Ocara	3	3
230950 Orós	3	3
230960 Pacajus	12	12
230970 Pacatuba	12	12
230980 Pacoti	2	2
230990 Pacujá	4	4
231000 Palhano	2	2
231010 Palmácia	1	1
231020 Paracuru	6	6
231025 Paraipaba	5	5
231030 Parambu	7	7
231050 Pedra Branca	6	6
231070 Pentecoste	9	9
231080 Pereiro	3	3
231085 Pindoretama	9	9
231090 Piquet Carneiro	5	5
231095 Pires Ferreira	1	1
231100 Poranga	2	2
231110 Porteiras	3	3
231123 Potiretama	2	2
231126 Quiterianópolis	5	5
231130 Quixadá	33	33
231135 Quixelô	3	3
231140 Quixeramobim	15	15
231150 Quixeré	2	2
231160 Redenção	6	6
231170 Reriutaba	7	7
231180 Russas	20	20
231190 Saboeiro	4	4
231195 Salitre	3	3
231220 Santa Quitéria	8	8
231200 Santana do Acaraú	8	8
231210 Santana do Cariri	6	6
231230 São Benedito	13	13
231240 São Gonçalo do Amarante	10	10
231250 São João do Jaguaribe	1	1
231260 São Luís do Curu	3	3
231270 Senador Pompeu	5	5
231290 Sobral	56	56
231300 Solonópole	3	3
231310 Tabuleiro do Norte	5	5
231320 Tamboril	9	9
231325 Tarrafas	2	2
231330 Tauá	9	9
231335 Tejuçuoca	1	1
231340 Tianguá	16	16
231350 Trairi	7	7
231355 Tururu	7	7
231360 Ubajara	10	10
231370 Umari	2	2
231375 Umirim	6	6
231380 Uruburetama	4	4
231390 Uruoca	3	3
231395 Varjota	7	7
231400 Várzea Alegre	18	18
231410 Viçosa do Ceará	12	12
240010 Acari	4	4
240020 Açu	9	9
240030 Afonso Bezerra	2	2
240040 Água Nova	1	1
240050 Alexandria	4	4
240060 Almino Afonso	1	1
240070 Alto do Rodrigues	2	2
240080 Angicos	2	2
240090 Antônio Martins	3	3
240100 Apodi	14	14
240110 Areia Branca	8	8
240120 Arês	1	1
240130 Augusto Severo	1	1
240140 Baía Formosa	2	2
240145 Baraúna	6	6
240150 Barcelona	2	2
240165 Bodó	1	1
240170 Bom Jesus	1	1
240180 Brejinho	1	1
240200 Caicó	22	22
240210 Campo Redondo	2	2
240220 Canguaretama	6	6
240230 Caraúbas	4	4
240240 Carnaúba dos Dantas	4	4
240250 Carnaubais	1	1
240260 Ceará-Mirim	16	16
240270 Cerro Corá	2	2
240280 Coronel Ezequiel	1	1
240310 Currais Novos	7	7
240330 Encanto	1	1
240340 Equador	2	2
240360 Extremoz	9	9
240370 Felipe Guerra	3	3
240380 Florânia	1	1
240400 Frutuoso Gomes	1	1
240410 Galinhos	1	1
240420 Goianinha	3	3
240430 Governador Dix-Sept Rosado	3	3
240440 Grossos	6	6
240450 Guamaré	2	2
240460 Ielmo Marinho	4	4
240470 Ipanguaçu	2	2
240485 Itajá	1	1
240500 Jaçanã	1	1
240520 Janduís	1	1
240530 Januário Cicco	1	1
240540 Japi	1	1
240550 Jardim de Angicos	1	1
240560 Jardim de Piranhas	5	5
240570 Jardim do Seridó	4	4
240580 João Câmara	4	4
240600 José da Penha	2	2
240610 Jucurutu	4	4
240615 Jundiá	1	1
240620 Lagoa d'Anta	3	3
240640 Lagoa de Velhos	1	1
240660 Lagoa Salgada	2	2
240670 Lajes	3	3
